#,Item #,Angle Type,Size A,Size B,Size C,Available Length(s),,,Estimated Lbs. Per Ft.,For 20ft Length,For 40ft Length,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Type,Size A,Size B,Size C,Available Lengths,As Fraction,As Decimal,Estimated Pounds Per Foot,For 20ft Length,For 40ft Length,ft.,lb.,$,$,
1,LS1218,Bar Size Standard,1/2 in,1/2 in,1/8 in,20 ft 40 ft,1/8,0.1250,0.38,7.6,,,0.00,,,
2,LS5818,Bar Size Standard,5/8 in,5/8 in,1/8 in,20 ft 40 ft,1/8,0.1250,0.48,9.6,,,0.00,,,SAMPLE--20' x 7 pieces = 140 feet
3,LS3418,Bar Size Standard,3/4 in,3/4 in,1/8 in,20 ft 40 ft,1/8,0.1250,0.59,11.8,,,0.00,,,SAMPLE--20' x 19 pieces = 380 feet
4,LS7818,Bar Size Standard,7/8 in,7/8 in,1/8 in,20 ft 40 ft,1/8,0.1250,0.7,14,,,0.00,,,
5,LS118,Bar Size Standard,1 in,1 in,1/8 in,20 ft 40 ft,1/8,0.1250,0.8,16,32,,0.00,,,
6,LS1316,Bar Size Standard,1 in,1 in,3/16 in,20 ft 40 ft,3/16,0.1875,1.16,23.2,46.4,,0.00,,,
7,LS114,Bar Size Standard,1 in,1 in,1/4 in,20 ft 40 ft,1/4,0.2500,1.49,29.8,59.6,,0.00,$0.95,$0.00,
8,LS11418,Bar Size Standard,1 1/4 in,1 1/4 in,1/8 in,20 ft 40 ft,1/8,0.1250,1.01,20.2,40.4,,0.00,$0.85,$0.00,
9,LS114316,Bar Size Standard,1 1/4 in,1 1/4 in,3/16 in,20 ft 40 ft,3/16,0.1875,1.48,29.6,59.2,,0.00,,$0.00,
10,LS11414,Bar Size Standard,1 1/4 in,1 1/4 in,1/4 in,20 ft 40 ft,1/4,0.2500,1.92,38.4,76.8,,0.00,$0.95,$0.00,
11,LS11218,Bar Size Standard,1 1/2 in,1 1/2 in,1/8 in,20 ft 40 ft,1/8,0.1250,1.23,24.6,49.2,,0.00,,$0.00,
12,LS112316,Bar Size Standard,1 1/2 in,1 1/2 in,3/16 in,20 ft 40 ft,3/16,0.1875,1.8,36·,72,,0.00,,$0.00,
13,LS11214,Bar Size Standard,1 1/2 in,1 1/2 in,1/4 in,20 ft 40 ft,1/4,0.2500,2.34,46.8,93.6,,0.00,$0.95,$0.00,
14,LS13418,Bar Size Standard,1 3/4 in,1 3/4 in,1/8 in,20 ft 40 ft,1/8,0.1250,1.44,28.8,57.6,,0.00,,$0.00,
15,LS134316,Bar Size Standard,1 3/4 in,1 3/4 in,3/16 in,20 ft 40 ft,3/16,0.1875,2.12,42.4,84.8,,0.00,,$0.00,
16,LS13414,Bar Size Standard,1 3/4 in,1 3/4 in,1/4 in,20 ft 40 ft,1/4,0.2500,2.77,55.4,110.8,,0.00,$0.95,$0.00,
17,LS2114316,Bar Size Standard,2 in,1 1/4 in,3/16 in,20 ft 40 ft,3/16,0.1875,1.96,39.2,78.4,,0.00,,$0.00,
18,LS211414,Bar Size Standard,2 in,1 1/4 in,1/4 in,20 ft 40 ft,1/4,0.2500,2.55,51,102,,0.00,$0.95,$0.00,
19,LS211218,Bar Size Standard,2 in,1 1/2 in,1/8 in,20 ft 40 ft,1/8,0.1250,1.44,28.8,57.6,,0.00,,$0.00,
20,LS2112316,Bar Size Standard,2 in,1 1/2 in,3/16 in,20 ft 40 ft,3/16,0.1875,2.12,42.4,84.8,,0.00,,$0.00,
21,LS211214,Bar Size Standard,2 in,1 1/2 in,1/4 in,20 ft 40 ft,1/4,0.2500,2.77,55.4,110.8,,0.00,$0.95,$0.00,
22,LS218,Bar Size Standard,2 in,2 in,1/8 in,20 ft 40 ft,1/8,0.1250,1.65,33,66,,0.00,,$0.00,
23,LS2316,Bar Size Standard,2 in,2 in,3/16 in,20 ft 40 ft,3/16,0.1875,2.44,48.8,97.6,,0.00,,$0.00,
24,LS214,Bar Size Standard,2 in,2 in,1/4 in,20 ft 40 ft,1/4,0.2500,3.19,63.8,127.6,,0.00,$0.95,$0.00,
25,LS2516,Bar Size Standard,2 in,2 in,5/16 in,20 ft 40 ft,5/16,0.3125,3.92,78.4,156.8,,0.00,$0.95,$0.00,
26,LS238,Bar Size Standard,2 in,2 in,3/8 in,20 ft 40 ft,3/8,0.3750,4.7,94,188,,0.00,$1.00,$0.00,
27,LS212112316,Bar Size Standard,2 1/2 in,1 1/2 in,3/16 in,20 ft 40 ft,3/16,0.1875,2.44,48.8,97.6,,0.00,,$0.00,
28,LS21211214,Bar Size Standard,2 1/2 in,1 1/2 in,1/4 in,20 ft 40 ft,1/4,0.2500,3.19,63.8,127.6,,0.00,$0.95,$0.00,
29,LS212112516,Bar Size Standard,2 1/2 in,1 1/2 in,5/16 in,20 ft 40 ft,5/16,0.3125,3.92,78.4,156.8,,0.00,$0.95,$0.00,
