,,,A,B,C,D,,,,,
#,Section Number,"Weight
Per/Foot","Depth of
Section","Flange
Width","Flange
Thickness","Web
Thickness",Length,Total Pounds,Current Cost per Foot,Total Price,NOTES:
,,lb.,in.,in.,in.,in.,ft.,lb.,$,$,
1,W4,13,4.16,4.060,0.345,0.280,,0,$0.92,$0.00,"SAMPLE--25' 0"" x 3 each pieces = 75 feet - Alex"
2,W5,16,5.01,5.000,0.300,0.240,,0,$0.92,$0.00,"SAMPLE--45' 0"" x 1 each pieces = 45 feet - Alex"
3,,19,5.15,5.030,0.430,0.270,,0,$0.92,$0.00,"SAMPLE--30' 0"" x 1 each pieces = 30 feet - Alex"
4,W6,8.5,5.83,3.940,0.194,0.170,,0,$0.92,$0.00,
5,,9,5.90,3.940,0.215,0.170,,0,$0.92,$0.00,
6,,12,6.03,4.000,0.280,0.230,,0,$0.92,$0.00,
7,,16,6.28,4.030,0.405,0.260,,0,$0.92,$0.00,
8,W6,15,5.99,5.990,0.260,0.230,,0,$0.92,$0.00,
9,,20,6.20,6.020,0.365,0.260,,0,$0.92,$0.00,
10,,25,6.38,6.080,0.455,0.320,,0,$0.92,$0.00,
11,W8,10,7.89,3.940,0.205,0.170,,0,$0.92,$0.00,
12,,13,7.99,4.000,0.255,0.230,,0,$0.92,$0.00,
13,,15,8.11,4.015,0.315,0.245,,0,$0.92,$0.00,
14,W8,18,8.14,5.250,0.330,0.230,,0,$0.92,$0.00,
15,,21,8.28,5.270,0.400,0.250,,0,$0.92,$0.00,
16,W8,24,7.93,6.490,0.400,0.245,,0,$0.92,$0.00,
17,,28,8.06,6.535,0.465,0.285,,0,$0.92,$0.00,
18,W8,31,8.00,7.995,0.435,0.285,,0,$0.92,$0.00,
19,,35,8.12,8.020,0.495,0.310,,0,$0.92,$0.00,
20,,40,8.25,8.070,0.560,0.360,,0,$0.92,$0.00,
21,,48,8.50,8.110,0.685,0.400,,0,$0.92,$0.00,
22,,58,8.75,8.220,0.810,0.510,,0,$0.92,$0.00,
23,,67,9.00,8.280,0.935,0.570,,0,$0.92,$0.00,
24,W10,12,9.87,3.960,0.210,0.190,,0,$0.92,$0.00,
25,,15,9.99,4.000,0.270,0.230,,0,$0.92,$0.00,
26,,17,10.11,4.010,0.330,0.240,,0,$0.92,$0.00,
27,,19,10.24,4.020,0.395,0.250,,0,$0.92,$0.00,
,,,,,,,,0,$0.92,$0.00,
28,W10,22,10.17,5.750,0.360,0.240,,0,$0.92,$0.00,
29,,26,10.33,5.770,0.440,0.260,,0,$0.92,$0.00,
30,,30,10.47,5.810,0.510,0.300,,0,$0.92,$0.00,
31,W10,33,9.73,7.960,0.435,0.290,,0,$0.92,$0.00,
32,,39,9.92,7.985,0.530,0.315,,0,$0.92,$0.00,
33,,45,10.10,8.020,0.620,0.350,,0,$0.92,$0.00,
34,W10,49,9.98,10.000,0.560,0.340,,0,$0.92,$0.00,
35,,54,10.09,10.030,0.615,0.370,,0,$0.92,$0.00,
36,,60,10.22,10.080,0.680,0.420,,0,$0.92,$0.00,
37,,68,10.40,10.130,0.770,0.470,,0,$0.92,$0.00,
38,,77,10.60,10.190,0.870,0.530,,0,$0.92,$0.00,
39,,88,10.84,10.265,0.990,0.605,,0,$0.92,$0.00,
40,,100,11.10,10.340,1.120,0.680,,0,$1.90,$0.00,
