#,Item #,Thickness,Available Length,Materials,Type,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per ft. in Lbs.,Total Price,NOTES:
,Item #,Thickness,Available Length,Materials,Type,Weight Per Ft. in Lbs.,ft.,lb.,$,$,
1,RH14,1/4 in,20 ft,Carbon SteelSteel,Round Bar,0.167,,0.000,$1.00,$0.00,
2,RH516,5/16 in,20 ft,Carbon SteelSteel,Round Bar,0.261,,0.000,$1.00,$0.00,
3,RH38,3/8 in,20 ft,Carbon SteelSteel,Round Bar,0.376,,0.000,$1.00,$0.00,
4,RH716,7/16 in,20 ft,Carbon SteelSteel,Round Bar,0.511,,0.000,$1.00,$0.00,
5,RH12,1/2 in,20 ft,Carbon SteelSteel,Round Bar,0.668,,0.000,$1.00,$0.00,
6,RH916,9/16 in,20 ft,Carbon SteelSteel,Round Bar,0.845,,0.000,$1.00,$0.00,
7,RH58,5/8 in,20 ft,Carbon SteelSteel,Round Bar,1.043,,0.000,$1.00,$0.00,
8,RH0680,0.680 in,20 ft,Carbon SteelSteel,Round Bar,1.260,,0.000,$1.00,$0.00,
9,RH34,3/4 in,20 ft,Carbon SteelSteel,Round Bar,1.502,,0.000,$1.00,$0.00,
10,RH2532,25/32 in,20 ft,Carbon SteelSteel,Round Bar,1.630,,0.000,$1.00,$0.00,
11,RH78,7/8 in,20 ft,Carbon SteelSteel,Round Bar,2.045,,0.000,$1.00,$0.00,
12,RH2932,29/32 in,20 ft,Carbon SteelSteel,Round Bar,2.190,,0.000,$1.00,$0.00,
13,RH1,1 in,20 ft,Carbon SteelSteel,Round Bar,2.670,,0.000,$1.00,$0.00,
14,RH118,1 1/8 in,20 ft,Carbon SteelSteel,Round Bar,3.380,,0.000,$1.50,$0.00,
15,RH1145,1.145 in,20 ft,Carbon SteelSteel,Round Bar,3.500,,0.000,$1.50,$0.00,
16,RH114,1 1/4 in,20 ft,Carbon SteelSteel,Round Bar,4.170,,0.000,$1.50,$0.00,
17,RH138,1 3/8 in,20 ft,Carbon SteelSteel,Round Bar,5.050,,0.000,$1.50,$0.00,
18,RH112,1 1/2 in,20 ft,Carbon SteelSteel,Round Bar,6.013,,0.000,$1.50,$0.00,
19,RH158,1 5/8 in,20 ft,Carbon SteelSteel,Round Bar,7.050,,0.000,$1.50,$0.00,
20,RH134,1 3/4 in,20 ft,Carbon SteelSteel,Round Bar,8.180,,0.000,$1.50,$0.00,
21,RH178,1 7/8 in,20 ft,Carbon SteelSteel,Round Bar,9.390,,0.000,$1.50,$0.00,
22,RH2,2 in,20 ft,Carbon SteelSteel,Round Bar,10.680,,0.000,$1.50,$0.00,
23,RH218,2 1/8 in,20 ft,Carbon SteelSteel,Round Bar,12.060,,0.000,$1.50,$0.00,
24,RH214,2 1/4 in,20 ft,Carbon SteelSteel,Round Bar,13.530,,0.000,$1.50,$0.00,
25,RH238,2 3/8 in,20 ft,Carbon SteelSteel,Round Bar,15.060,,0.000,$1.50,$0.00,
26,RH212,2 1/2 in,20 ft,Carbon SteelSteel,Round Bar,16.700,,0.000,$1.50,$0.00,
27,RH258,2 5/8 in,20 ft,Carbon SteelSteel,Round Bar,18.400,,0.000,$1.50,$0.00,
28,RH234,2 3/4 in,20 ft,Carbon SteelSteel,Round Bar,20.200,,0.000,$1.50,$0.00,
29,RH278,2 7/8 in,20 ft,Carbon SteelSteel,Round Bar,22.070,,0.000,$1.50,$0.00,
30,RH3,3 in,20 ft,Carbon SteelSteel,Round Bar,24.050,,0.000,$1.50,$0.00,
31,RH312,3 1/2 in,20 ft,Carbon SteelSteel,Round Bar,32.710,,0.000,$1.50,$0.00,
32,RH4,4 in,20 ft,Carbon SteelSteel,Round Bar,42.730,,0.000,$1.50,$0.00,
33,RH5,5 in,20 ft,Carbon SteelSteel,Round Bar,66.760,,0.000,$1.50,$0.00,
34,RH6,6 in,20 ft,Carbon SteelSteel,Round Bar,96.130,,0.000,$1.50,$0.00,
35,RB38,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,0.376,,,,,
36,RB12,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,0.668,,,,,
37,RB58,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,1.043,,,,,
38,RB34,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,1.502,,,,,
39,RB78,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,2.044,,,,,
40,RB1,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,2.670,,,,,
41,RB118,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,3.400,,,,,
42,RB114,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,4.303,,,,,
43,RB138,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,5.313,,,,,
44,RB158,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,7.650,,,,,
45,RB214,N/A,20 ft,Carbon SteelSteel,Reinforcing Bar,13.600,,,,,
46,CRB94,N/A,N/A,N/A,N/A,N/A,,,,,
47,CRB167,N/A,N/A,N/A,N/A,N/A,,,,,
48,CRB261,N/A,N/A,N/A,N/A,N/A,,,,,
49,CRB376,N/A,N/A,N/A,N/A,N/A,,,,,
50,CRB511,N/A,N/A,N/A,N/A,N/A,,,,,
51,CRB668,N/A,N/A,N/A,N/A,N/A,,,,,
52,CRB845,N/A,N/A,N/A,N/A,N/A,,,,,
53,CRB1043,N/A,N/A,N/A,N/A,N/A,,,,,
54,CRB1262,N/A,N/A,N/A,N/A,N/A,,,,,
55,CRB1500,N/A,N/A,N/A,N/A,N/A,,,,,
56,CRB1763,N/A,N/A,N/A,N/A,N/A,,,,,
57,CRB2044,N/A,N/A,N/A,N/A,N/A,,,,,
58,CRB2347,N/A,N/A,N/A,N/A,N/A,,,,,
59,CRB2670,N/A,N/A,N/A,N/A,N/A,,,,,
60,CRB3015,N/A,N/A,N/A,N/A,N/A,,,,,
61,CRB3380,N/A,N/A,N/A,N/A,N/A,,,,,
62,CRB3766,N/A,N/A,N/A,N/A,N/A,,,,,
63,CRB4172,N/A,N/A,N/A,N/A,N/A,,,,,
64,CRB4600,N/A,N/A,N/A,N/A,N/A,,,,,
65,CRB5049,N/A,N/A,N/A,N/A,N/A,,,,,
66,CRB5518,N/A,N/A,N/A,N/A,N/A,,,,,
67,CRB6008,N/A,N/A,N/A,N/A,N/A,,,,,
68,CRB6519,N/A,N/A,N/A,N/A,N/A,,,,,
69,CRB7051,N/A,N/A,N/A,N/A,N/A,,,,,
70,CRB7604,N/A,N/A,N/A,N/A,N/A,,,,,
71,CRB8178,N/A,N/A,N/A,N/A,N/A,,,,,
72,CRB8773,N/A,N/A,N/A,N/A,N/A,,,,,
73,CRB9388,N/A,N/A,N/A,N/A,N/A,,,,,
74,CRB10024,N/A,N/A,N/A,N/A,N/A,,,,,
75,CRB10681,N/A,N/A,N/A,N/A,N/A,,,,,
76,CRB12058,N/A,N/A,N/A,N/A,N/A,,,,,
77,CRB12778,N/A,N/A,N/A,N/A,N/A,,,,,
78,CRB13519,N/A,N/A,N/A,N/A,N/A,,,,,
79,CRB14280,N/A,N/A,N/A,N/A,N/A,,,,,
80,CRB15060,N/A,N/A,N/A,N/A,N/A,,,,,
81,CRB15870,N/A,N/A,N/A,N/A,N/A,,,,,
82,CRB16690,N/A,N/A,N/A,N/A,N/A,,,,,
83,CRB18400,N/A,N/A,N/A,N/A,N/A,,,,,
84,CRB19290,N/A,N/A,N/A,N/A,N/A,,,,,
85,CRB20190,N/A,N/A,N/A,N/A,N/A,,,,,
86,CRB22070,N/A,N/A,N/A,N/A,N/A,,,,,
87,CRB23042,N/A,N/A,N/A,N/A,N/A,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Grand Total $,Tab Link to Grand Totals
,,,,,,Totals,0,0.000,,$0.00,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
