,Size,Weight Per Linear Ft.,Weight Per 20 ft. Piece,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
#,in.,Lbs. per Ft.,20 ft. in Lbs.,ft.,lb.,$,$,
1,3/16,0.094,1.88,,0.000,$1.00,$0.00,
2,1/4,0.167,3.34,,0.000,$1.00,$0.00,
3,5/16,0.261,5.22,,0.000,$1.00,$0.00,
4,3/8,0.376,7.52,,0.000,$1.00,$0.00,
5,7/16,0.511,10.22,,0.000,$1.00,$0.00,
6,1/2,0.668,13.36,,0.000,$1.00,$0.00,
7,9/16,0.845,16.90,,0.000,$1.00,$0.00,
8,5/8,1.043,20.86,,0.000,$1.00,$0.00,
9,11/16,1.262,25.24,,0.000,$1.00,$0.00,
10,3/4,1.500,30.00,,0.000,$1.00,$0.00,
11,13/16,1.763,35.26,,0.000,$1.00,$0.00,
12,7/8,2.044,40.88,,0.000,$1.00,$0.00,
13,15/16,2.347,46.94,,0.000,$1.00,$0.00,
14,1,2.670,53.40,,0.000,$1.00,$0.00,
15,1   1/16,3.015,60.30,,0.000,$1.50,$0.00,
16,1   1/8,3.380,67.60,,0.000,$1.50,$0.00,
17,1   3/16,3.766,75.32,,0.000,$1.50,$0.00,
18,1   1/4,4.172,83.44,,0.000,$1.50,$0.00,
19,1   5/16,4.600,92.00,,0.000,$1.50,$0.00,
20,1   3/8,5.049,100.98,,0.000,$1.50,$0.00,
21,1   7/16,5.518,110.36,,0.000,$1.50,$0.00,
22,1   1/2,6.008,120.16,,0.000,$1.50,$0.00,
23,1   9/16,6.519,130.38,,0.000,$1.50,$0.00,
24,1   5/8,7.051,141.02,,0.000,$1.50,$0.00,
25,1 11/16,7.604,152.08,,0.000,$1.50,$0.00,
26,1   3/4,8.178,163.56,,0.000,$1.50,$0.00,
27,1 13/16,8.773,175.46,,0.000,$1.50,$0.00,
28,1    7/8,9.388,187.76,,0.000,$1.50,$0.00,
29,1 15/16,10.024,200.48,,0.000,$1.50,$0.00,
30,2,10.681,213.62,,0.000,$1.50,$0.00,
31,2   1/8,12.058,241.16,,0.000,$1.50,$0.00,
32,2   3/16,12.778,255.56,,0.000,$1.50,$0.00,
33,2   1/4,13.519,270.38,,0.000,$1.50,$0.00,
34,2   5/16,14.280,285.60,,0.000,$1.50,$0.00,
35,2   3/8,15.060,301.20,,0.000,$1.50,$0.00,
36,2   7/16,15.870,317.40,,0.000,$1.50,$0.00,
37,2   1/2,16.690,333.80,,0.000,$1.50,$0.00,
38,2   5/8,18.400,368.00,,0.000,$1.50,$0.00,
39,2 11/16,19.29,385.80,,0.000,$1.50,$0.00,
40,2   3/4,20.190,403.80,,0.000,$1.50,$0.00,
41,2   7/8,22.070,441.40,,0.000,$1.50,$0.00,
42,2 15/16,23.042,460.84,,0.000,$1.50,$0.00,
,,,,,,,,
,,,,,,,,
,,,,,,,Grand Total $,Tab Link to Grand Totals
,,,Totals,0,0.000,,$0.00,
