#,Item #,Thickness,Width,Available Length,Materials,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per ft. in Lbs.,Total Price,NOTES:
,Item #,Thickness,Width,Available Length,Materials,Weight Per Ft. in Lbs.,ft.,lb.,$,$,
1,FL1438,1/4 in,3/8 in,20 ft,Carbon SteelSteel,0.319,,0.000,$0.95,$0.00,SAMPLE--20' x 1 piece = 20 feet w/ Ali
2,FL1/41/2,1/4 in,1/2 in,20 ft,Carbon SteelSteel,0.430,,0.000,$0.95,$0.00,"SAMPLE--20' x 1 piece = 20 feet; 12"" DROP - Alex"
3,FL1458,1/4 in,5/8 in,20 ft,Carbon SteelSteel,0.531,,0.000,$0.95,$0.00,"SAMPLE--20' x 1 piece = 20 feet; 12"" DROP - Alex"
4,FL1434,1/4 in,3/4 in,20 ft,Carbon SteelSteel,0.638,,0.000,$0.95,$0.00,
5,FL1478,1/4 in,7/8 in,20 ft,Carbon SteelSteel,0.744,,0.000,$0.95,$0.00,
6,FL141,1/4 in,1 in,20 ft,Carbon SteelSteel,0.850,,0.000,$0.95,$0.00,
7,FL14118,1/4 in,1 1/8 in,20 ft,Carbon SteelSteel,0.956,,0.000,$0.95,$0.00,
8,FL14114,1/4 in,1 1/4 in,20 ft,Carbon SteelSteel,1.063,,0.000,$0.95,$0.00,
9,FL14138,1/4 in,1 3/8 in,20 ft,Carbon SteelSteel,1.170,,0.000,$0.95,$0.00,
10,FL14112,1/4 in,1 1/2 in,20 ft,Carbon SteelSteel,1.280,,0.000,$0.95,$0.00,
11,FL14158,1/4 in,1 5/8 in,20 ft,Carbon SteelSteel,1.381,,0.000,$0.95,$0.00,
12,FL14134,1/4 in,1 3/4 in,20 ft,Carbon SteelSteel,1.488,,0.000,$0.95,$0.00,
13,FL142,1/4 in,2 in,20 ft,Carbon SteelSteel,1.700,,0.000,$0.95,$0.00,
14,FL14214,1/4 in,2 1/4 in,20 ft,Carbon SteelSteel,1.913,,0.000,$0.95,$0.00,
15,FL14212,1/4 in,2 1/2 in,20 ft,Carbon SteelSteel,2.130,,0.000,$0.95,$0.00,
16,FL14234,1/4 in,2 3/4 in,20 ft,Carbon SteelSteel,2.340,,0.000,$0.95,$0.00,
17,FL143,1/4 in,3 in,20 ft,Carbon SteelSteel,2.550,,0.000,$0.85,$0.00,
18,FL14314,1/4 in,3 1/4 in,20 ft,Carbon SteelSteel,2.763,,0.000,$0.95,$0.00,
19,FL14312,1/4 in,3 1/2 in,20 ft,Carbon SteelSteel,2.980,,0.000,$0.95,$0.00,
20,FL14334,1/4 in,3 3/4 in,20 ft,Carbon SteelSteel,3.188,,0.000,$0.95,$0.00,
21,FL144,1/4 in,4 in,20 ft,Carbon SteelSteel,3.400,,0.000,$0.95,$0.00,
22,FL14412,1/4 in,4 1/2 in,20 ft,Carbon SteelSteel,3.830,,0.000,$0.95,$0.00,
23,FL145,1/4 in,5 in,20 ft,Carbon SteelSteel,4.250,,0.000,$0.95,$0.00,
24,FL14512,1/4 in,5 1/2 in,20 ft,Carbon SteelSteel,4.680,,0.000,$0.95,$0.00,
25,FL146,1/4 in,6 in,20 ft,Carbon SteelSteel,5.100,,0.000,$0.95,$0.00,
26,FL147,1/4 in,7 in,20 ft,Carbon SteelSteel,5.950,,0.000,$0.95,$0.00,
27,FL148,1/4 in,8 in,20 ft,Carbon SteelSteel,6.800,,0.000,$0.95,$0.00,
28,FL149,1/4 in,9 in,20 ft,Carbon SteelSteel,7.660,,0.000,$0.95,$0.00,
29,FL1410,1/4 in,10 in,20 ft,Carbon SteelSteel,8.500,,0.000,$0.95,$0.00,
30,FL1411,1/4 in,11 in,20 ft,Carbon SteelSteel,9.360,,0.000,$0.95,$0.00,
31,FL1412,1/4 in,12 in,20 ft,Carbon SteelSteel,10.200,,0.000,$0.95,$0.00,
32,FL5161/2,5/16 in,1/2 in,20 ft,Carbon SteelSteel,0.531,,0.000,$0.95,$0.00,
33,FL51658,5/16 in,5/8 in,20 ft,Carbon SteelSteel,0.664,,0.000,$0.95,$0.00,
34,FL51634,5/16 in,3/4 in,20 ft,Carbon SteelSteel,0.797,,0.000,$0.95,$0.00,
35,FL51678,5/16 in,7/8 in,20 ft,Carbon SteelSteel,0.930,,0.000,$0.95,$0.00,
36,FL5161,5/16 in,1 in,20 ft,Carbon SteelSteel,1.060,,0.000,$0.95,$0.00,
37,FL516118,5/16 in,1 1/8 in,20 ft,Carbon SteelSteel,1.195,,0.000,$0.95,$0.00,
38,FL516114,5/16 in,1 1/4 in,20 ft,Carbon SteelSteel,1.330,,0.000,$0.95,$0.00,
39,FL516138,5/16 in,1 3/8 in,20 ft,Carbon SteelSteel,1.461,,0.000,$0.95,$0.00,
40,FL516112,5/16 in,1 1/2 in,20 ft,Carbon SteelSteel,1.590,,0.000,$0.95,$0.00,
41,FL516134,5/16 in,1 3/4 in,20 ft,Carbon SteelSteel,1.860,,0.000,$0.95,$0.00,
42,FL5162,5/16 in,2 in,20 ft,Carbon SteelSteel,2.130,,0.000,$0.95,$0.00,
43,FL516214,5/16 in,2 1/4 in,20 ft,Carbon SteelSteel,2.390,,0.000,$0.95,$0.00,
44,FL516212,5/16 in,2 1/2 in,20 ft,Carbon SteelSteel,2.660,,0.000,$0.95,$0.00,
45,FL516234,5/16 in,2 3/4 in,20 ft,Carbon SteelSteel,2.922,,0.000,$0.95,$0.00,
46,FL5163,5/16 in,3 in,20 ft,Carbon SteelSteel,3.190,,0.000,$0.95,$0.00,
47,FL516312,5/16 in,3 1/2 in,20 ft,Carbon SteelSteel,3.720,,0.000,$0.95,$0.00,
48,FL5164,5/16 in,4 in,20 ft,Carbon SteelSteel,4.250,,0.000,$0.95,$0.00,
49,FL516412,5/16 in,4 1/2 in,20 ft,Carbon SteelSteel,4.780,,0.000,$0.95,$0.00,
50,FL5165,5/16 in,5 in,20 ft,Carbon SteelSteel,5.310,,0.000,$0.95,$0.00,
51,FL516512,5/16 in,5 1/2 in,20 ft,Carbon SteelSteel,5.840,,0.000,$0.95,$0.00,
52,FL5166,5/16 in,6 in,20 ft,Carbon SteelSteel,6.380,,0.000,$0.95,$0.00,
53,FL5167,5/16 in,7 in,20 ft,Carbon SteelSteel,7.440,,0.000,$0.95,$0.00,
54,FL5168,5/16 in,8 in,20 ft,Carbon SteelSteel,8.500,,0.000,$0.95,$0.00,
55,FL5169,5/16 in,9 in,20 ft,Carbon SteelSteel,9.600,,0.000,$0.95,$0.00,
56,FL51610,5/16 in,10 in,20 ft,Carbon SteelSteel,10.600,,0.000,$0.95,$0.00,
57,FL51611,5/16 in,11 in,20 ft,Carbon SteelSteel,11.700,,0.000,$0.95,$0.00,
58,FL51612,5/16 in,12 in,20 ft,Carbon SteelSteel,12.700,,0.000,$0.95,$0.00,
59,FL381/2,3/8 in,1/2 in,20 ft,Carbon SteelSteel,0.638,,0.000,$0.95,$0.00,
60,FL3858,3/8 in,5/8 in,20 ft,Carbon SteelSteel,0.797,,0.000,$0.95,$0.00,
61,FL3834,3/8 in,3/4 in,20 ft,Carbon SteelSteel,0.956,,0.000,$0.95,$0.00,
62,FL3878,3/8 in,7/8 in,20 ft,Carbon SteelSteel,1.116,,0.000,$0.95,$0.00,
