#,Item #,Section Number,Section Depth A,Flange Width B,Flange Thickness C,Web Thickness D,Weight per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Section Number,Section Depth A,Flange Width B,Flange Thickness C,Web Thickness D,Weight per Foot,ft.,Lbs.,$,$,
1,CS335,C3,3 in,1.376 in,0.273 in,0.125 in,3.50,,0,$0.95,$0.00,"SAMPLE--40' x 3 pieces = 40 feet w/ Ali (15' 6"" (15' 4"") x 6 = 93')"
2,CS341,C3,3 in,1.410 in,0.273 in,0.170 in,4.10,,0,$0.95,$0.00,"SAMPLE--40' x 3 pieces = 40 feet w/ Ali (15' 6"" (15' 4"") x 6 = 93')"
3,CS35,C3,3 in,1.498 in,0.273 in,0.258 in,5.00,,0,$0.95,$0.00,
4,CS36,C3,3 in,1.596 in,0.273 in,0.356 in,6.00,,0,$0.95,$0.00,
5,CS445,C4,4 in,1.585 in,0.149 in,0.163 in,4.50,,0,$0.95,$0.00,
6,CS454,C4,4 in,1.580 in,0.296 in,0.184 in,5.40,,0,$0.95,$0.00,
7,CS4725,C4,4 in,1.721 in,0.296 in,0.321 in,7.25,,0,$0.80,$0.00,
8,CS567,C5,5 in,1.750 in,0.320 in,0.190 in,6.70,,0,$0.95,$0.00,
9,CS59,C5,5 in,1.885 in,0.320 in,0.325 in,9.00,,0,$0.95,$0.00,
10,CS682,C6,6.00 in,1.920 in,0.343 in,0.200 in,8.20,,0,$0.95,$0.00,
11,CS6105,C6,6.00 in,2.034 in,0.343 in,0.314 in,10.50,,0,$0.95,$0.00,
12,CS613,C6,6.00 in,2.157 in,0.343 in,0.437 in,13.00,,0,$0.95,$0.00,
13,CS798,C7,7 in,2.090 in,0.366 in,0.210 in,9.80,,0,$0.95,$0.00,
14,CS71225,C7,7 in,2.194 in,0.366 in,0.303 in,12.25,,0,$0.95,$0.00,
15,CS71475,C7,7 in,2.299 in,0.366 in,0.487 in,14.75,,0,$0.95,$0.00,
16,CS8115,C8,8.00 in,2.260 in,0.390 in,0.220 in,11.50,,0,$0.95,$0.00,
17,CS81375,C8,8.00 in,2.343 in,0.390 in,0.303 in,13.75,,0,$0.95,$0.00,
18,CS81875,C8,8.00 in,2.527 in,0.390 in,0.487 in,18.75,,0,$0.95,$0.00,
19,CS9134,C9,9 in,2.433 in,0.413 in,0.233 in,13.40,,0,$0.95,$0.00,
20,CS915,C9,9 in,2.485 in,0.413 in,0.285 in,15.00,,0,$0.95,$0.00,
21,CS920,C9,9 in,2.648 in,0.413 in,0.448 in,20.00,,0,$0.95,$0.00,
22,CS10153,C10,10.00 in,2.600 in,0.436 in,0.240 in,15.30,,0,$0.95,$0.00,
23,CS1020,C10,10.00 in,2.739 in,0.436 in,0.379 in,20.00,,0,$0.95,$0.00,
24,CS1025,C10,10.00 in,2.886 in,0.436 in,0.523 in,25.00,,0,$0.95,$0.00,
25,CS1030,C10,10.00 in,3.033 in,0.436 in,0.673 in,30.00,,0,$0.95,$0.00,
26,CS12207,C12,12.00 in,2.942 in,0.501 in,0.282 in,20.70,,0,$0.95,$0.00,
27,CS1225,C12,12.00 in,3.047 in,0.501 in,0.387 in,25.00,,0,$0.95,$0.00,
28,CS1230,C12,12.00 in,3.170 in,0.501 in,0.510 in,30.00,,0,$0.95,$0.00,
29,CS15339,C15,15 in,3.400 in,0.650 in,0.400 in,33.90,,0,$1.50,$0.00,
30,CS1540,C15,15 in,3.520 in,0.650 in,0.520 in,40.00,,0,$1.50,$0.00,
31,CS1550,C15,15 in,3.716 in,0.650 in,0.716 in,50.00,,0,$1.50,$0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Grand Total $,Tab Link to Grand Totals
,,,,,,,Totals,0,0.000,,$0.00,
