#,Item #,Section Number,Section Depth A,Flange Width B,Flange Thickness C,Web Thickness D,Weight Per Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Section Number,Section Depth A,Flange Width B,Flange Thickness C,Web Thickness D,Weight Per Lbs.,ft.,lb.,$,$,
1,CM371,MC3,2.93 in,1.940 in,0.351 in,0.312 in,7.10,,0,$0.92,$0.00,
2,CM4138,MC4,4 in,2.500 in,0.500 in,0.500 in,13.80,,0,$0.92,$0.00,
3,CM612,MC6,6.00 in,2.497 in,0.375 in,0.310 in,12.00,,0,$0.80,$0.00,SAMPLE--40' x 1 pieces = 40 feet w/ Ali (13' + 4 1/2' + 4 1/2' = 21' feet total)
4,CM6151,MC6,6.00 in,2.941 in,0.475 in,0.316 in,15.10,,0,$0.92,$0.00,
5,CM6153,MC6,6.00 in,3.500 in,0.475 in,0.375 in,15.30,,0,$0.92,$0.00,
6,CM6163,MC6,6.00 in,3.000 in,0.475 in,0.379 in,16.30,,0,$0.92,$0.00,
7,CM618,MC6,6.00 in,3.504 in,0.475 in,0.379 in,18.00,,0,$0.92,$0.00,
8,CM7191,MC7,7 in,3.452 in,0.500 in,0.352 in,19.10,,0,$0.92,$0.00,
9,CM7227,MC7,7 in,3.603 in,0.500 in,0.503 in,22.70,,0,$0.92,$0.00,
10,CM885,MC8,8.00 in,1.874 in,0.311 in,0.179 in,8.50,,0,$0.92,$0.00,
11,CM8187,MC8,8.00 in,2.978 in,0.500 in,0.353 in,18.70,,0,$0.92,$0.00,
12,CM820,MC8,8.00 in,3.025 in,0.500 in,0.400 in,20.00,,0,$0.92,$0.00,
13,CM8214,MC8,8.00 in,3.450 in,0.525 in,0.375 in,21.40,,0,$0.92,$0.00,
14,CM8228,MC8,8.00 in,3.502 in,0.525 in,0.427 in,22.80,,0,$0.92,$0.00,
15,CM9239,MC9,9 in,3.450 in,0.550 in,0.400 in,23.90,,0,$0.92,$0.00,
16,CM9254,MC9,9 in,3.500 in,0.550 in,0.450 in,25.40,,0,$0.92,$0.00,
17,CM1065,MC10,10.00 in,1.170 in,0.202 in,0.152 in,6.50,,0,$0.92,$0.00,
18,CM1084,MC10,10.00 in,1.500 in,0.280 in,0.170 in,8.40,,0,$0.92,$0.00,
19,CM1022,MC10,10.00 in,3.315 in,0.575 in,0.290 in,22.00,,0,$0.92,$0.00,
20,CM1025,MC10,10.00 in,3.405 in,0.575 in,0.380 in,25.00,,0,$0.92,$0.00,
21,CM10285,MC10,10.00 in,3.950 in,0.575 in,0.425 in,28.50,,0,$0.92,$0.00,
22,CM10336,MC10,10.00 in,4.100 in,0.575 in,0.575 in,33.60,,0,$0.92,$0.00,
23,CM10411,MC10,10.00 in,4.321 in,0.575 in,0.796 in,41.10,,0,$0.92,$0.00,
24,CM12106,MC12,12.00 in,1.500 in,0.309 in,0.190 in,10.60,,0,$1.75,$0.00,
25,CM12143,MC12,12.00 in,2.125 in,0.313 in,0.250 in,14.30,,0,$1.75,$0.00,
26,CM1231,MC12,12.00 in,3.670 in,0.700 in,0.370 in,31.00,,0,$1.75,$0.00,
27,CM1235,MC12,12.00 in,3.767 in,0.700 in,0.465 in,35.00,,0,$1.75,$0.00,
28,CM1240,MC12,12.00 in,3.890 in,0.700 in,0.590 in,40.00,,0,$1.75,$0.00,
29,CM1245,MC12,12.00 in,4.012 in,0.700 in,0.712 in,45.00,,0,$1.75,$0.00,
30,CM1250,MC12,12.00 in,4.135 in,0.700 in,0.835 in,50.00,,0,$1.75,$0.00,
31,CM13318,MC13,13 in,4.000 in,0.610 in,0.375 in,31.80,,0,$1.75,$0.00,
32,CM1335,MC13,13 in,4.072 in,0.610 in,0.447 in,35.00,,0,$1.75,$0.00,
