#,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,
,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Foot,ft.,lb.,$,$,,
1,TP1/25,1/2 in,5,0.840 in,0.065 in,0.538,,0.000,,$0.00,,
2,TP1210,1/2 in,10,0.840 in,0.083 in,0.671,,0.000,,$0.00,,
3,TP1240STD,1/2 in,40 STD,0.840 in,0.109 in,0.851,,0.000,,$0.00,,
4,TP1/280,1/2 in,80 Ex Hvy,0.840 in,0.147 in,1.088,,0.000,,$0.00,,
5,TP1/2160,1/2 in,160,0.840 in,0.187 in,1.304,,0.000,,$0.00,,
6,TP12XX,1/2 in,XX Hvy,0.840 in,0.294 in,1.714,,0.000,,$0.00,,
7,TP345,3/4 in,5,1.050 in,0.065 in,0.684,,0.000,,$0.00,,
8,TP3410,3/4 in,10,1.050 in,0.083 in,0.857,,0.000,,$0.00,,
9,TP3440STD,3/4 in,40 STD,1.050 in,0.113 in,1.130,,0.000,,$0.00,,
10,TP3480,3/4 in,80 Ex Hvy,1.050 in,0.154 in,1.474,,0.000,,$0.00,,
11,TP34160,3/4 in,160,1.050 in,0.216 in,1.937,,0.000,,$0.00,,
12,TP34XX,3/4 in,XX Hvy,1.050 in,0.308 in,2.441,,0.000,,$0.00,,
13,TP15,1 in,5,1.315 in,0.065 in,0.868,,0.000,,$0.00,,
14,TP110,1 in,10,1.315 in,0.109 in,1.404,,0.000,,$0.00,,
15,TP140STD,1 in,40 STD,1.315 in,0.133 in,1.679,,0.000,,$0.00,,
16,TP180,1 in,80 Ex Hvy,1.315 in,0.179 in,2.172,,0.000,,$0.00,,
17,TP1160,1 in,160,1.315 in,0.250 in,2.844,,0.000,,$0.00,,
18,TP1XX,1 in,XX Hvy,1.315 in,0.358 in,3.659,,0.000,,$0.00,,
19,TP1145,1 1/4 in,5,1.660 in,0.065 in,1.107,,0.000,,$0.00,,
20,TP11410,1 1/4 in,10,1.660 in,0.109 in,1.806,,0.000,,$0.00,,
21,TP11440STD,1 1/4 in,40 STD,1.660 in,0.140 in,2.273,,0.000,,$0.00,,
22,TP11480,1 1/4 in,80 Ex Hvy,1.660 in,0.191 in,2.997,,0.000,,$0.00,,
23,TP114160,1 1/4 in,160,1.660 in,0.250 in,3.765,,0.000,,$0.00,,
24,TP114XX,1 1/4 in,XX Hvy,1.660 in,0.382 in,5.214,,0.000,,$0.00,,
25,TP1125,1 1/2 in,5,1.900 in,0.065 in,1.274,,0.000,,$0.00,,
26,TP11210,1 1/2 in,10,1.900 in,0.109 in,2.085,,0.000,,$0.00,,
27,TP11240STD,1 1/2 in,40 STD,1.900 in,0.145 in,2.718,,0.000,,$0.00,,
28,TP11280,1 1/2 in,80 Ex Hvy,1.900 in,0.200 in,3.630,,0.000,,$0.00,,
29,TP112160,1 1/2 in,160,1.900 in,0.281 in,4.859,,0.000,,$0.00,,
30,TP112XX,1 1/2 in,XX Hvy,1.900 in,0.400 in,6.408,,0.000,,$0.00,,
31,TP25,2 in,5,2.375 in,0.065 in,1.604,,0.000,,$0.00,,
32,TP210,2 in,10,2.375 in,0.109 in,2.638,,0.000,,$0.00,,
33,TP240STD,2 in,40 STD,2.375 in,0.154 in,3.653,,0.000,,$0.00,,
34,TP280,2 in,80 Ex Hvy,2.375 in,0.218 in,5.022,,0.000,,$0.00,,
35,TP2160,2 in,160,2.375 in,0.343 in,7.444,,0.000,,$0.00,,
36,TP2XX,2 in,XX Hvy,2.375 in,0.436 in,9.029,,0.000,,$0.00,,
37,TP2125,2 1/2 in,5,2.875 in,0.083 in,2.475,,0.000,,$0.00,,
38,TP21210,2 1/2 in,10,2.875 in,0.120 in,3.531,,0.000,,$0.00,,
39,TP21240STD,2 1/2 in,40 STD,2.875 in,0.203 in,5.793,,0.000,,$0.00,,
40,TP21280,2 1/2 in,80 Ex Hvy,2.875 in,0.276 in,7.661,,0.000,,$0.00,,
41,TP212160,2 1/2 in,160,2.875 in,0.375 in,10.010,,0.000,,$0.00,,
42,TP212XX,2 1/2 in,XX Hvy,2.875 in,0.552 in,13.700,,0.000,,$0.00,,
43,TP35,3 in,5,3.500 in,0.083 in,3.029,,0.000,,$0.00,,
44,TP310,3 in,10,3.500 in,0.120 in,4.332,,0.000,,$0.00,,
45,TP340STD,3 in,40 STD,3.500 in,0.216 in,7.596,,0.000,$1.10,$0.00,,1.1
46,TP380,3 in,80 Ex Hvy,3.500 in,0.300 in,10.250,,0.000,,$0.00,,
47,TP3160,3 in,160,3.500 in,0.437 in,14.320,,0.000,,$0.00,,
48,TP3XX,3 in,XX Hvy,3.500 in,0.600 in,18.580,,0.000,,$0.00,,
49,TP3125,3 1/2 in,5,4.000 in,0.083 in,3.472,,0.000,,$0.00,,
50,TP31210,3 1/2 in,10,4.000 in,0.120 in,4.973,,0.000,,$0.00,,
51,TP31240STD,3 1/2 in,40 STD,4.000 in,0.226 in,9.109,,0.000,$1.10,$0.00,,1.1
52,TP31280,3 1/2 in,80 Ex Hvy,4.000 in,0.318 in,12.510,,0.000,,$0.00,,
53,TP45,4 in,5,4.500 in,0.083 in,3.915,,0.000,,$0.00,,
54,TP410,4 in,10,4.500 in,0.120 in,5.613,,0.000,,$0.00,,
55,TP440STD,4 in,40 STD,4.500 in,0.237 in,10.790,,0.000,$1.10,$0.00,,1.1
56,TP480,4 in,80 Ex Hvy,4.500 in,0.337 in,14.980,,0.000,,$0.00,,
