#,Item #,Type,Materials,Width,Height,Average Wall Thickness,,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,,,,
,Item #,Type,Materials,Width,Height,Gauge,Decimal,Weight Per Foot,ft.,lb.,$,$,,,,,
1,TS120385,Square Tube,Carbon Steel,1/2 in,1/2 in,16 gauge,0.065,0.385,,,,,,,,,
2,TS120470,Square Tube,Carbon Steel,1/2 in,1/2 in,14 gauge,0.083,0.47,,,,,,,,,
3,TS340605,Square Tube,Carbon Steel,3/4 in,3/4 in,16 gauge,0.065,0.605,,,,,,,,,
4,TS340753,Square Tube,Carbon Steel,3/4 in,3/4 in,14 gauge,0.083,0.753,,,,,,,,,
5,TS341030,Square Tube,Carbon Steel,3/4 in,3/4 in,11 gauge,0.120,1.030,,,,,,,,,
6,TS341028,Square Tube,Carbon Steel,3/4 in,3/4 in,1/8 in,0.125,1.028,,0.000,$0.95,$0.00,,,,,
7,TS10827,Square Tube,Carbon Steel,1 in,1 in,16 gauge,0.065,0.827,,,,,,,,,
8,TS11035,Square Tube,Carbon Steel,1 in,1 in,14 gauge,0.083,1.035,,,,,,,,,
9,TS11436,Square Tube,Carbon Steel,1 in,1 in,3/16 in,0.125,1.436,,0.000,$0.95,$0.00,,,,,
10,TS1141048,Square Tube,Carbon Steel,1 1/4 in,1 1/4 in,16 gauge,0.065,1.048,,,,,,,,,
11,TS1141317,Square Tube,Carbon Steel,1 1/4 in,1 1/4 in,14 gauge,0.083,1.317,,,,,,,,,
13,TS1141844,Square Tube,Carbon Steel,1 1/4 in,1 1/4 in,1/8 in,0.125,1.844,,0.000,$0.95,$0.00,,,,,
14,TS114262,Square Tube,Carbon Steel,1 1/4 in,1 1/4 in,3/16 in,0.188,2.62,,0.000,$0.95,$0.00,,,,,
15,TS114411,Square Tube,Carbon Steel,1 1/4 in,1 1/4 in,1/4 in,0.250,4.11,,0.000,$0.95,$0.00,,,,,
16,TS1121269,Square Tube,Carbon Steel,1 1/2 in,1 1/2 in,16 gauge,0.065,1.269,,,,,,,,,
17,TS112160,Square Tube,Carbon Steel,1 1/2 in,1 1/2 in,14 gauge,0.083,1.60,,,,,,,,,
18,TS1122252,Square Tube,Carbon Steel,1 1/2 in,1 1/2 in,1/8 in,0.125,2.252,,0.000,$0.95,$0.00,,,,,
19,TS112323,Square Tube,Carbon Steel,1 1/2 in,1 1/2 in,3/16 in,0.188,3.23,,0.000,$0.95,$0.00,,,,,
20,TS112411,Square Tube,Carbon Steel,1 1/2 in,1 1/2 in,1/4 in,0.250,4.11,,0.000,$0.95,$0.00,,,,,
21,TS134149,Square Tube,Carbon Steel,1 3/4 in,1 3/4 in,16 gauge,0.065,1.49,,,,,,,,,
22,TS134188,Square Tube,Carbon Steel,1 3/4 in,1 3/4 in,14 gauge,0.083,1.88,,,,,,,,,
23,TS134266,Square Tube,Carbon Steel,1 3/4 in,1 3/4 in,1/8 in,0.125,2.66,,0.000,$0.95,$0.00,,,,,
24,TS134399,Square Tube,Carbon Steel,1 3/4 in,1 3/4 in,3/16 in,0.188,3.99,,0.000,$0.95,$0.00,,,,,
25,TS217103,Square Tube,Carbon Steel,2 in,2 in,16 gauge,0.065,1.7103,,,,,,,,,
26,TS22163,Square Tube,Carbon Steel,2 in,2 in,14 gauge,0.083,2.163,,,,,,,,,
27,TS23067,Square Tube,Carbon Steel,2 in,2 in,1/8 in,0.125,3.067,,0.000,$0.95,$0.00,,,,,
28,TS2432,Square Tube,Carbon Steel,2 in,2 in,3/16 in,0.188,4.32,,0.000,$0.95,$0.00,,,,,
29,TS2632,Square Tube,Carbon Steel,2 in,2 in,5/16 in,0.313,6.32,,0.000,$0.95,$0.00,,,,,
30,TS2541,Square Tube,Carbon Steel,2 in,2 in,1/4 in,0.250,5.41,,0.000,$0.95,$0.00,,,,,
31,TS212215,Square Tube,Carbon Steel,2 1/2 in,2 1/2 in,16 gauge,0.065,2.15,,,,,,,,,
32,TS212273,Square Tube,Carbon Steel,2 1/2 in,2 1/2 in,14 gauge,0.083,2.73,,,,,,,,,
33,TS212390,Square Tube,Carbon Steel,2 1/2 in,2 1/2 in,1/8 in,0.125,3.90,,0.000,$0.95,$0.00,,,,,
34,TS212559,Square Tube,Carbon Steel,2 1/2 in,2 1/2 in,3/16 in,0.188,5.59,,0.000,$0.95,$0.00,,,,,
35,TS212711,Square Tube,Carbon Steel,2 1/2 in,2 1/2 in,1/4 in,0.250,7.11,,0.000,$0.95,$0.00,,,,,
36,TS212843,Square Tube,Carbon Steel,2 1/2 in,2 1/2 in,5/16 in,0.313,8.43,,0.000,$0.95,$0.00,,,,,
37,TS3259,Square Tube,Carbon Steel,3 in,3 in,16 gauge,0.065,2.59,,,,,,,,,
38,TS3326,Square Tube,Carbon Steel,3 in,3 in,14 gauge,0.083,3.26,,,,,,,,,
39,TS3475,Square Tube,Carbon Steel,3 in,3 in,1/8 in,0.125,4.75,,0.000,$0.95,$0.00,,,,,
40,TS3687,Square Tube,Carbon Steel,3 in,3 in,3/16 in,0.188,6.87,,0.000,$0.95,$0.00,,,,,
41,TS3881,Square Tube,Carbon Steel,3 in,3 in,1/4 in,0.250,8.81,,0.000,$0.95,$0.00,,,,,
42,TS31058,Square Tube,Carbon Steel,3 in,3 in,5/16 in,0.313,10.58,,0.000,$0.95,$0.00,,,,,
43,TS31217,Square Tube,Carbon Steel,3 in,3 in,3/8 in,0.375,12.17,,0.000,$0.95,$0.00,,,,,
44,TS312380,Square Tube,Carbon Steel,3 1/2 in,3 1/2 in,14 gauge,0.083,3.80,,,,,,,,,
45,TS312561,Square Tube,Carbon Steel,3 1/2 in,3 1/2 in,1/8 in,0.125,5.61,,0.000,$0.95,$0.00,,,,,
46,TS312815,Square Tube,Carbon Steel,3 1/2 in,3 1/2 in,3/16 in,0.188,8.15,,0.000,$0.95,$0.00,,,,,
47,TS3121051,Square Tube,Carbon Steel,3 1/2 in,3 1/2 in,1/4 in,0.250,10.51,,0.000,$0.95,$0.00,,,,,
48,TS3121270,Square Tube,Carbon Steel,3 1/2 in,3 1/2 in,5/16 in,0.313,12.70,,0.000,$0.95,$0.00,,,,,
49,TS3121472,Square Tube,Carbon Steel,3 1/2 in,3 1/2 in,3/8 in,0.375,14.72,,0.000,$1.25,$0.00,,,,,
50,TS4646,Square Tube,Carbon Steel,4 in,4 in,1/8 in,0.125,6.46,,0.000,$0.95,$0.00,,,,,
51,TS4942,Square Tube,Carbon Steel,4 in,4 in,3/16 in,0.188,9.42,,0.000,$0.95,$0.00,,,,,
52,TS41221,Square Tube,Carbon Steel,4 in,4 in,1/4 in,0.250,12.21,,0.000,$0.95,$0.00,,,,,
53,TS41483,Square Tube,Carbon Steel,4 in,4 in,5/16 in,0.313,14.83,,0.000,$0.95,$0.00,,,,,
54,TS41727,Square Tube,Carbon Steel,4 in,4 in,3/8 in,0.375,17.27,,0.000,$1.25,$0.00,,,,,
55,TS42163,Square Tube,Carbon Steel,4 in,4 in,1/2 in,0.500,21.63,,0.000,$2.00,$0.00,,,,,
